Epoch,Host_Propellant_PSI,Host_Bus_Voltage,Host_Heartbeat_ms,ARB_Gyro_Mag,ARB_Temp_C,Target_Status
1,299.48,28.37,16,0.01,16.24,Nominal
2,300.37,28.59,15,0.014,16.22,Nominal
3,300.45,28.55,19,0.013,14.55,Nominal
4,298.99,28.22,17,0.005,15.19,Nominal
5,299.31,28.72,14,0.013,13.14,Nominal
6,300.01,28.48,14,0.005,15.1,Nominal
7,299.78,28.28,15,0.003,14.21,Nominal
8,299.92,28.74,13,0.009,14.81,Nominal
9,299.49,28.63,17,0.012,13.31,Nominal
10,300.35,28.25,15,0.002,15.4,Nominal
11,300.29,28.86,15,0.014,13.3,Nominal
12,299.92,28.63,16,0.014,15.15,Nominal
13,300.44,28.5,18,0.01,13.77,Nominal
14,300.1,28.82,15,0.006,14.15,Nominal
15,299.43,28.53,14,0.005,16.15,Nominal
16,300.03,28.49,18,0.015,15.59,Nominal
17,299.36,28.37,16,0.002,16.15,Nominal
18,300.27,28.62,14,0.015,16.56,Nominal
19,299.79,28.6,15,0.009,14.23,Nominal
20,299.72,28.5,15,0.01,16.5,Nominal
21,299.46,28.34,15,0.001,13.53,Nominal
22,300.4,28.53,12,0.009,15.75,Nominal
23,299.7,28.49,11,0.013,14.51,Nominal
24,299.56,28.23,13,0.003,14.07,Nominal
25,299.58,28.21,13,0.012,15.61,Nominal
26,300.02,28.61,13,0.01,15.94,Nominal
27,299.92,27.98,16,0.007,15.92,Nominal
28,299.94,28.54,14,0.014,15.21,Nominal
29,299.94,28.4,15,0.001,15.13,Nominal
30,300.78,28.76,12,0.012,15.53,Nominal
31,299.5,28.4,14,0.018,15.3,Nominal
32,299.43,28.63,16,0.017,15.54,Nominal
33,299.27,28.42,16,0.012,15.2,Nominal
34,299.98,28.52,13,0.008,15.84,Nominal
35,300.22,28.65,15,0.007,13.37,Nominal
36,299.59,28.41,19,0.008,14.87,Nominal
37,299.22,28.7,14,0.013,13.62,Nominal
38,299.22,28.3,13,0.006,15.28,Nominal
39,299.95,28.56,14,0.014,16.64,Nominal
40,299.98,28.68,15,0.021,14.53,Nominal
41,299.87,28.63,14,0.01,15.13,Nominal
42,299.26,28.88,14,0.003,15.76,Nominal
43,299.7,28.35,12,0.003,12.93,Nominal
44,299.63,28.22,13,0.014,14.48,Nominal
45,299.67,28.3,14,0.01,15.36,Nominal
46,299.99,28.63,14,0.014,12.1,Nominal
47,299.65,28.6,13,0.007,14.02,Nominal
48,299.87,28.52,14,0.014,16.1,Nominal
49,299.55,28.28,15,0.009,16.0,Nominal
50,299.65,28.65,16,0.006,15.37,Nominal
51,299.82,28.26,14,0.008,15.88,Nominal
52,298.76,28.73,15,0.004,15.22,Nominal
53,299.32,29.07,13,0.02,15.56,Nominal
54,299.23,28.57,16,0.01,14.68,Nominal
55,299.14,28.62,15,0.013,15.12,Nominal
56,299.31,28.4,16,0.007,14.37,Nominal
57,300.19,28.14,16,0.005,16.26,Nominal
58,299.0,28.38,16,0.009,16.52,Nominal
59,299.9,28.28,14,0.016,16.38,Nominal
60,298.57,28.21,15,0.007,14.59,Nominal
61,299.23,28.84,17,0.006,14.05,Nominal
62,299.47,28.55,13,0.011,16.28,Nominal
63,299.67,28.58,13,0.012,15.54,Nominal
64,299.73,28.44,15,0.018,15.33,Nominal
